행정구역(읍면동),종사자수,사업체수,급여총액,매출액,영업이익,종사자당 사업체수,종사자당 급여총액,종사자당 매출액,종사자당 영업이익
연산동,9986.0,2342.0,262686.0,1669140.0,50240.0,0.23452833967554576,26.305427598638094,167.14800721009414,5.031043460845183
염산면,1657.0,746.0,25622.0,212242.0,29697.0,0.45021122510561257,15.462884731442365,128.08811104405552,17.92214846107423
영강동,2065.0,730.0,53852.0,213594.0,19733.0,0.35351089588377727,26.078450363196126,103.43535108958838,9.55593220338983
영광읍,21503.0,7288.0,595490.0,3498022.0,231047.0,0.33892945170441335,27.693345114635168,162.6759986978561,10.744872808445333
영남면,340.0,158.0,6076.0,25537.0,1459.0,0.4647058823529412,17.870588235294118,75.10882352941177,4.291176470588235
영산동,1856.0,514.0,40555.0,217896.0,19889.0,0.2769396551724138,21.85075431034483,117.40086206896552,10.716056034482758
영암읍,10882.0,2808.0,372966.0,2140748.0,115430.0,0.25804080132328616,34.27366292960853,196.723764013968,10.607425105679104
오곡면,1476.0,456.0,23793.0,126675.0,13279.0,0.3089430894308943,16.119918699186993,85.82317073170732,8.996612466124661
오산면,822.0,358.0,16303.0,126839.0,5363.0,0.43552311435523117,19.833333333333332,154.30535279805352,6.524330900243309
옥곡면,5793.0,1296.0,195537.0,1079684.0,63767.0,0.22371828068358363,33.75401346452615,186.37735197652339,11.007595373726911
옥과면,4284.0,1274.0,156139.0,634442.0,38585.0,0.2973856209150327,36.44701213818861,148.09570494864613,9.006769374416434
옥룡면,1627.0,526.0,25135.0,95616.0,8848.0,0.32329440688383526,15.448678549477567,58.768285187461586,5.4382298709280885
옥암동,7846.0,2892.0,217490.0,1823122.0,120694.0,0.3685954626561305,27.719857252102983,232.36324241651798,15.38287025235789
옥천면,3229.0,686.0,118798.0,598154.0,36245.0,0.21244967482192628,36.79095695261691,185.24434809538556,11.224837410963147
옴천면,167.0,90.0,5658.0,23707.0,2923.0,0.5389221556886228,33.880239520958085,141.95808383233532,17.50299401197605
완도읍,21200.0,6796.0,569209.0,4954548.0,272668.0,0.3205660377358491,26.84948113207547,233.70509433962263,12.861698113207547
왕곡면,4500.0,800.0,151904.0,1389256.0,106010.0,0.17777777777777778,33.75644444444445,308.72355555555555,23.557777777777776
왕조1동,31567.0,8318.0,818966.0,6089538.0,426742.0,0.26350302531124276,25.94373871448031,192.9083536604682,13.518611207906991
왕조2동,11247.0,3434.0,300421.0,2107095.0,130466.0,0.3053258646750244,26.711211878723216,187.34729261136303,11.600071130079133
외서면,290.0,212.0,3232.0,19333.0,2599.0,0.7310344827586207,11.144827586206896,66.6655172413793,8.962068965517242
용당1동,9358.0,3364.0,257988.0,1225143.0,82227.0,0.35947852105150674,27.568711263090403,130.9193203675999,8.786813421671297
용당2동,4636.0,1548.0,110695.0,356415.0,24846.0,0.3339085418464193,23.877264883520276,76.87985332182916,5.359361518550474
용면,1018.0,472.0,13605.0,73949.0,12167.0,0.4636542239685658,13.364440078585462,72.64145383104126,11.951866404715128
용방면,1764.0,220.0,46838.0,646068.0,32720.0,0.12471655328798185,26.552154195011337,366.2517006802721,18.54875283446712
용산면,1440.0,374.0,41839.0,135104.0,16457.0,0.25972222222222224,29.054861111111112,93.82222222222222,11.428472222222222
용해동,5845.0,2078.0,99678.0,382983.0,37819.0,0.3555175363558597,17.0535500427716,65.52318220701454,6.470316509837468
운남면,1262.0,616.0,22636.0,280365.0,45609.0,0.48811410459587956,17.93660855784469,222.15927099841522,36.140253565768624
웅치면,321.0,136.0,6388.0,50569.0,3464.0,0.4236760124610592,19.90031152647975,157.53582554517135,10.791277258566979
원산동,6453.0,2870.0,96033.0,553265.0,62224.0,0.44475437780877114,14.881915388191539,85.73764140709747,9.64264683093135
월등면,457.0,240.0,9579.0,49941.0,3438.0,0.5251641137855579,20.960612691466082,109.2800875273523,7.522975929978118
월산면,1349.0,536.0,27922.0,142960.0,9582.0,0.3973313565604151,20.698295033358043,105.97479614529281,7.1030392883617495
월야면,2077.0,802.0,53192.0,388758.0,24678.0,0.3861338468945595,25.610014443909485,187.17284545016852,11.881559942224362
월호동,5452.0,804.0,201814.0,797737.0,87946.0,0.1474688187820983,37.01650770359501,146.3200660308144,16.130961115187088
유달동,5658.0,1336.0,229981.0,2185986.0,74031.0,0.23612583951926475,40.64704842700601,386.35312831389183,13.084305408271474
유치면,420.0,158.0,8243.0,29675.0,2535.0,0.3761904761904762,19.626190476190477,70.6547619047619,6.035714285714286
율어면,226.0,96.0,3323.0,15876.0,-252.0,0.4247787610619469,14.70353982300885,70.24778761061947,-1.1150442477876106
율촌면,6914.0,1702.0,229286.0,1392570.0,112877.0,0.24616719699161121,33.162568701186,201.41307492045127,16.32586057275094
의신면,2284.0,782.0,53765.0,400523.0,17679.0,0.3423817863397548,23.53984238178634,175.36033274956216,7.740367775831874
이로동,4428.0,1328.0,125236.0,660228.0,38892.0,0.2999096657633243,28.28274616079494,149.1029810298103,8.78319783197832
이서면,307.0,162.0,3982.0,18530.0,2797.0,0.5276872964169381,12.970684039087947,60.358306188925084,9.110749185667752
